index,agency,numOfPositions,businessTitle,jobCategory,newLat,newLong,borough,salaryRangeTo,salaryRangeFrom,salaryFrequency,zip,jobCatCondensed
1451,OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB)-MANAGERIA,"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",40.7143284,-74.01091439999998,Manhattan,225217.0,180472.0,Annual,10007.0,Other
1452,OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB)-MANAGERIA,"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",40.7143284,-74.01091439999998,Manhattan,225217.0,180472.0,Annual,10007.0,Other
1453,TAXI & LIMOUSINE COMMISSION,1,Deputy Chief - Enforcement,"Public Safety, Inspections, & Enforcement",40.7640041,-73.90229090000001,Queens,86916.0,86916.0,Annual,11377.0,Managerial and Professional
1454,TAXI & LIMOUSINE COMMISSION,1,Deputy Chief - Enforcement,"Public Safety, Inspections, & Enforcement",40.7640041,-73.90229090000001,Queens,86916.0,86916.0,Annual,11377.0,Managerial and Professional
1455,DEPT OF ENVIRONMENT PROTECTION,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Policy, Research & Analysis",40.734879600000006,-73.86348939999998,Queens,168433.0,63031.0,Annual,11373.0,Other
1456,DEPT OF ENVIRONMENT PROTECTION,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Policy, Research & Analysis",40.734879600000006,-73.86348939999998,Queens,168433.0,63031.0,Annual,11373.0,Other
1457,TAXI & LIMOUSINE COMMISSION,1,Prosecuting Attorney,Legal Affairs,40.7428,-73.9356,Queens,67523.0,58716.0,Annual,11101.0,Other
1458,TAXI & LIMOUSINE COMMISSION,1,Prosecuting Attorney,Legal Affairs,40.7428,-73.9356,Queens,67523.0,58716.0,Annual,11101.0,Other
1459,DEPT OF DESIGN & CONSTRUCTION,2,Administrative Assistant,Administration & Human Resources,40.7441315,-73.9360615,Queens,71794.0,49390.0,Annual,11101.0,Other
1460,DEPT OF DESIGN & CONSTRUCTION,2,Administrative Assistant,Administration & Human Resources,40.7441315,-73.9360615,Queens,71794.0,49390.0,Annual,11101.0,Other
1461,DEPT OF INFO TECH & TELECOMM,1,Senior Counsel,Legal Affairs,40.694028,-73.98394990000001,Brooklyn,125000.0,56990.0,Annual,11201.0,Other
1462,DEPT OF INFO TECH & TELECOMM,1,Senior Counsel,Legal Affairs,40.694028,-73.98394990000001,Brooklyn,125000.0,56990.0,Annual,11201.0,Other
1463,DEPT OF ENVIRONMENT PROTECTION,4,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,118610.0,87490.0,Annual,11373.0,Managerial and Professional
1464,DEPT OF ENVIRONMENT PROTECTION,4,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,118610.0,87490.0,Annual,11373.0,Managerial and Professional
1465,DEPT OF ENVIRONMENT PROTECTION,4,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,118610.0,87490.0,Annual,11373.0,Managerial and Professional
1466,DEPT OF ENVIRONMENT PROTECTION,4,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,118610.0,87490.0,Annual,11373.0,Managerial and Professional
1467,OFFICE OF THE COMPTROLLER,1,IT Contract Analyst,"Finance, Accounting, & Procurement",40.712830600000004,-74.00371489999998,Manhattan,65000.0,55000.0,Annual,10007.0,Other
1468,OFFICE OF THE COMPTROLLER,1,IT Contract Analyst,"Finance, Accounting, & Procurement",40.712830600000004,-74.00371489999998,Manhattan,65000.0,55000.0,Annual,10007.0,Other
1469,DEPT OF ENVIRONMENT PROTECTION,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",40.614849,-74.105334,Staten Island,43465.0,37796.0,Annual,10301.0,Managerial and Professional
1470,DEPT OF ENVIRONMENT PROTECTION,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",40.614849,-74.105334,Staten Island,43465.0,37796.0,Annual,10301.0,Managerial and Professional
1471,DEPARTMENT OF CITY PLANNING,1,Administrative Assistant,Administration & Human Resources,40.7084773,-74.01059839999998,Manhattan,61000.0,50000.0,Annual,10271.0,Other
1472,DEPARTMENT OF CITY PLANNING,1,Administrative Assistant,Administration & Human Resources,40.7084773,-74.01059839999998,Manhattan,61000.0,50000.0,Annual,10271.0,Other
1473,ADMIN FOR CHILDREN'S SVCS,1,Director of Child Protective Audits,Social Services,40.7096402,-74.0057361,Manhattan,110000.0,63031.0,Annual,10038.0,Service
1474,ADMIN TRIALS AND HEARINGS,1,Clerical Associate,Administration & Human Resources,40.708865700000004,-74.0078458,Manhattan,20.07,17.46,Hourly,10038.0,Other
1475,ADMIN FOR CHILDREN'S SVCS,2,Senior Case Analyst,Social Services,40.7096402,-74.0057361,Manhattan,97000.0,56990.0,Annual,10038.0,Service
1476,ADMIN FOR CHILDREN'S SVCS,1,Case Analyst,Social Services,40.7096402,-74.0057361,Manhattan,81655.0,78763.0,Annual,10038.0,Service
1477,DEPT OF HEALTH/MENTAL HYGIENE,1,"Farm to Preschool Coordinator, Bureau of Chronic Disease Prevention and Tobacco Control","Finance, Accounting, & Procurement Health",40.749357200000006,-73.93906190000001,Queens,71551.08,52524.0,Annual,11101.0,Other
1478,DEPT OF HEALTH/MENTAL HYGIENE,1,"Farm to Preschool Coordinator, Bureau of Chronic Disease Prevention and Tobacco Control","Finance, Accounting, & Procurement Health",40.749357200000006,-73.93906190000001,Queens,71551.08,52524.0,Annual,11101.0,Other
1479,DEPT OF ENVIRONMENT PROTECTION,1,Employee Benefits Coordinator,Administration & Human Resources,40.7348102,-73.8644434,Queens,66000.0,56798.0,Annual,11373.0,Other
1480,DEPT OF DESIGN & CONSTRUCTION,2,Engineer-in-Charge,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,108657.0,78210.0,Annual,11101.0,Other
1481,DEPT OF DESIGN & CONSTRUCTION,2,Engineer-in-Charge,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,108657.0,78210.0,Annual,11101.0,Other
1482,NYC HOUSING AUTHORITY,30,Housing Assistant,Administration & Human Resources Social Services,40.763334,-73.976339,Manhattan,58987.0,36396.0,Annual,10019.0,Service
1483,NYC HOUSING AUTHORITY,30,Housing Assistant,Administration & Human Resources Social Services,40.763334,-73.976339,Manhattan,58987.0,36396.0,Annual,10019.0,Service
1484,DEPARTMENT OF INVESTIGATION,1,Assistant Inspector General,"Public Safety, Inspections, & Enforcement",40.70712279999999,-74.00777149999998,Manhattan,88564.0,62360.0,Annual,10038.0,Managerial and Professional
1485,DEPARTMENT OF INVESTIGATION,1,Assistant Inspector General,"Public Safety, Inspections, & Enforcement",40.70712279999999,-74.00777149999998,Manhattan,88564.0,62360.0,Annual,10038.0,Managerial and Professional
1486,DEPT OF ENVIRONMENT PROTECTION,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,63728.0,55416.0,Annual,11373.0,Other
1487,DEPT OF ENVIRONMENT PROTECTION,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,63728.0,55416.0,Annual,11373.0,Other
1488,DEPT OF HEALTH/MENTAL HYGIENE,1,"Peer Specialist / NYC Supported Transition and Recovery Team (NYCSTART), Bureau of Mental Health",Health,40.749357200000006,-73.93906190000001,Queens,46329.0,34543.0,Annual,11101.0,Other
1489,DEPT OF HEALTH/MENTAL HYGIENE,1,"Peer Specialist / NYC Supported Transition and Recovery Team (NYCSTART), Bureau of Mental Health",Health,40.749357200000006,-73.93906190000001,Queens,46329.0,34543.0,Annual,11101.0,Other
1490,DEPT OF HEALTH/MENTAL HYGIENE,1,Fiscal Analyst-Accounts Payable Specialist,"Finance, Accounting, & Procurement Health",40.749357200000006,-73.93906190000001,Queens,75600.0,56981.0,Annual,11101.0,Other
1491,DEPT OF HEALTH/MENTAL HYGIENE,1,Fiscal Analyst-Accounts Payable Specialist,"Finance, Accounting, & Procurement Health",40.749357200000006,-73.93906190000001,Queens,75600.0,56981.0,Annual,11101.0,Other
1492,POLICE DEPARTMENT,4,"Psychologist, Level I","Health Public Safety, Inspections, & Enforcement",40.736596999999996,-73.98319509999999,Manhattan,81131.0,62458.0,Annual,10010.0,Managerial and Professional
1493,POLICE DEPARTMENT,4,"Psychologist, Level I","Health Public Safety, Inspections, & Enforcement",40.736596999999996,-73.98319509999999,Manhattan,81131.0,62458.0,Annual,10010.0,Managerial and Professional
1494,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of Tuberculosis Control",Health,40.72764300000001,-73.937443,Brooklyn,56860.92,45782.0,Annual,11222.0,Other
1495,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of Tuberculosis Control",Health,40.72764300000001,-73.937443,Brooklyn,56860.92,45782.0,Annual,11222.0,Other
1496,DEPT OF INFO TECH & TELECOMM,1,MODA Project Manager,"Technology, Data & Innovation Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,60403.0,52524.0,Annual,10007.0,Other
1497,DEPT OF INFO TECH & TELECOMM,1,MODA Project Manager,"Technology, Data & Innovation Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,60403.0,52524.0,Annual,10007.0,Other
1498,MAYORS OFFICE OF CONTRACT SVCS,1,Quality Assurance Engineer,"Technology, Data & Innovation",40.7142973,-74.0043792,Manhattan,115000.0,95000.0,Annual,10007.0,Other
1499,MAYORS OFFICE OF CONTRACT SVCS,1,Quality Assurance Engineer,"Technology, Data & Innovation",40.7142973,-74.0043792,Manhattan,115000.0,95000.0,Annual,10007.0,Other
1500,DEPT OF DESIGN & CONSTRUCTION,2,Office Engineer,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,106222.0,72476.0,Annual,11101.0,Other
1501,DEPT OF DESIGN & CONSTRUCTION,2,Office Engineer,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,106222.0,72476.0,Annual,11101.0,Other
1502,DEPT OF DESIGN & CONSTRUCTION,1,Payment Controls Analyst,"Finance, Accounting, & Procurement",40.7441315,-73.9360615,Queens,97873.0,65731.0,Annual,11101.0,Other
1503,DEPT OF DESIGN & CONSTRUCTION,1,Payment Controls Analyst,"Finance, Accounting, & Procurement",40.7441315,-73.9360615,Queens,97873.0,65731.0,Annual,11101.0,Other
1504,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Nurse, Bureau of Environmental Disease and Injury Prevention",Health,40.7157524,-74.002517,Manhattan,74482.0,74482.0,Annual,10013.0,Other
1505,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Nurse, Bureau of Environmental Disease and Injury Prevention",Health,40.7157524,-74.002517,Manhattan,74482.0,74482.0,Annual,10013.0,Other
1506,LAW DEPARTMENT,1,PARALEGAL AIDE - LEVEL 2,Constituent Services & Community Programs Legal Affairs,40.693526500000004,-73.98764820000001,Brooklyn,58688.0,41939.0,Annual,11201.0,Service
1507,LAW DEPARTMENT,1,PARALEGAL AIDE - LEVEL 2,Constituent Services & Community Programs Legal Affairs,40.693526500000004,-73.98764820000001,Brooklyn,58688.0,41939.0,Annual,11201.0,Service
1508,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of School Health",Health,40.603871000000005,-73.9559,Brooklyn,25.81,20.78,Hourly,11229.0,Other
1509,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of School Health",Health,40.603871000000005,-73.9559,Brooklyn,25.81,20.78,Hourly,11229.0,Other
1510,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of School Health",Health,40.7472946,-73.94433049999998,Queens,25.81,20.78,Hourly,11120.0,Other
1511,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of School Health",Health,40.7472946,-73.94433049999998,Queens,25.81,20.78,Hourly,11120.0,Other
1512,DEPT OF INFO TECH & TELECOMM,1,Information Security Data Protection Manager,"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,140000.0,96020.0,Annual,11201.0,Other
1513,DEPT OF INFO TECH & TELECOMM,1,Information Security Manager (Vulnerability Management),"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,140000.0,75000.0,Annual,11201.0,Other
1514,DEPT OF HEALTH/MENTAL HYGIENE,1,"Special Assistant, Bureau of Tuberculosis Control","Health Policy, Research & Analysis",40.7472946,-73.94433049999998,Queens,68499.0,62272.0,Annual,11120.0,Other
1515,DEPT OF HEALTH/MENTAL HYGIENE,1,"Special Assistant, Bureau of Tuberculosis Control","Health Policy, Research & Analysis",40.7472946,-73.94433049999998,Queens,68499.0,62272.0,Annual,11120.0,Other
1516,DEPT OF INFO TECH & TELECOMM,2,Information Security Senior Governance Risk & Compliance Analyst,"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,110000.0,75000.0,Annual,11201.0,Other
1517,DEPT OF INFO TECH & TELECOMM,2,Information Security Senior Governance Risk & Compliance Analyst,"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,110000.0,75000.0,Annual,11201.0,Other
1518,DEPARTMENT OF CITY PLANNING,1,Human Capital Summer College Intern,Administration & Human Resources,40.7084773,-74.01059839999998,Manhattan,17.5,17.5,Hourly,10271.0,Other
1519,DEPARTMENT OF CITY PLANNING,1,Human Capital Summer College Intern,Administration & Human Resources,40.7084773,-74.01059839999998,Manhattan,17.5,17.5,Hourly,10271.0,Other
1520,DEPT OF HEALTH/MENTAL HYGIENE,1,"POD Planner, Bureau of Emergency Field Operations",Health,40.749357200000006,-73.93906190000001,Queens,74500.0,45250.0,Annual,11101.0,Other
1521,DEPT OF HEALTH/MENTAL HYGIENE,1,"POD Planner, Bureau of Emergency Field Operations",Health,40.749357200000006,-73.93906190000001,Queens,74500.0,45250.0,Annual,11101.0,Other
1522,DEPT OF HEALTH/MENTAL HYGIENE,1,"College Aide,     Bureau of Veterinary and Pest Control Services",Health,40.710197799999996,-74.0105593,Manhattan,19.9,15.5,Hourly,10007.0,Other
1523,DEPT OF HEALTH/MENTAL HYGIENE,1,"College Aide,     Bureau of Veterinary and Pest Control Services",Health,40.710197799999996,-74.0105593,Manhattan,19.9,15.5,Hourly,10007.0,Other
1524,DEPT OF INFO TECH & TELECOMM,1,Information Security Analyst (Data Protection),"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,100000.0,75000.0,Annual,11201.0,Other
1525,DEPT OF INFO TECH & TELECOMM,1,Information Security Analyst (Data Protection),"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,100000.0,75000.0,Annual,11201.0,Other
1526,BOROUGH PRESIDENT-QUEENS,1,Assistant Counsel,Legal Affairs,40.71370039999999,-73.8281571,Queens,70353.0,57944.0,Annual,11424.0,Other
1527,BOROUGH PRESIDENT-QUEENS,1,Assistant Counsel,Legal Affairs,40.71370039999999,-73.8281571,Queens,70353.0,57944.0,Annual,11424.0,Other
1528,DEPT OF HEALTH/MENTAL HYGIENE,1,"Product Manager, Bureau of IT Strategy and Project Management","Health Technology, Data & Innovation",40.749357200000006,-73.93906190000001,Queens,90000.0,75000.0,Annual,11101.0,Other
1529,DEPT OF HEALTH/MENTAL HYGIENE,1,"Product Manager, Bureau of IT Strategy and Project Management","Health Technology, Data & Innovation",40.749357200000006,-73.93906190000001,Queens,90000.0,75000.0,Annual,11101.0,Other
1530,DEPARTMENT OF FINANCE,1,Budget Director,"Finance, Accounting, & Procurement",40.712830600000004,-74.00371489999998,Manhattan,130000.0,116000.0,Annual,10007.0,Other
1531,DEPT OF HEALTH/MENTAL HYGIENE,1,Hepatitis Direct Outreach and Patient Navigation Pgrm Manager,"Health Policy, Research & Analysis",40.749357200000006,-73.93906190000001,Queens,91045.08,73305.0,Annual,11101.0,Other
1532,DEPT OF HEALTH/MENTAL HYGIENE,1,Hepatitis Direct Outreach and Patient Navigation Pgrm Manager,"Health Policy, Research & Analysis",40.749357200000006,-73.93906190000001,Queens,91045.08,73305.0,Annual,11101.0,Other
1533,CIVILIAN COMPLAINT REVIEW BD,24,Investigator Level 1,"Constituent Services & Community Programs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",40.713299299999996,-74.0101098,Manhattan,47220.0,41061.0,Annual,10007.0,Managerial and Professional
1534,CIVILIAN COMPLAINT REVIEW BD,24,Investigator Level 1,"Constituent Services & Community Programs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",40.713299299999996,-74.0101098,Manhattan,47220.0,41061.0,Annual,10007.0,Managerial and Professional
1535,DEPT OF HEALTH/MENTAL HYGIENE,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",Health,40.7394052,-73.9776358,Manhattan,57134.16,52902.0,Annual,10016.0,Other
1536,DEPT OF HEALTH/MENTAL HYGIENE,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",Health,40.7394052,-73.9776358,Manhattan,57134.16,52902.0,Annual,10016.0,Other
1537,DEPT OF DESIGN & CONSTRUCTION,1,Office Engineer,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,95270.0,65783.0,Annual,11101.0,Other
1538,DEPT OF DESIGN & CONSTRUCTION,1,Office Engineer,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,95270.0,65783.0,Annual,11101.0,Other
1539,DEPT OF DESIGN & CONSTRUCTION,1,Senior Design Engineer,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,95270.0,65783.0,Annual,11101.0,Other
1540,DEPT OF DESIGN & CONSTRUCTION,1,Senior Design Engineer,"Engineering, Architecture, & Planning",40.7441315,-73.9360615,Queens,95270.0,65783.0,Annual,11101.0,Other
1541,DEPT OF ENVIRONMENT PROTECTION,2,Assistant Civil Engineer,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,63728.0,57720.0,Annual,11373.0,Other
1542,DEPT OF ENVIRONMENT PROTECTION,2,Assistant Civil Engineer,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,63728.0,57720.0,Annual,11373.0,Other
1543,MAYORS OFFICE OF CONTRACT SVCS,1,"Deputy Director of Programs, Mayor's Office of MWBE","Finance, Accounting, & Procurement Technology, Data & Innovation Legal Affairs Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,123000.0,115000.0,Annual,10007.0,Other
1544,MAYORS OFFICE OF CONTRACT SVCS,1,"Deputy Director of Programs, Mayor's Office of MWBE","Finance, Accounting, & Procurement Technology, Data & Innovation Legal Affairs Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,123000.0,115000.0,Annual,10007.0,Other
1545,NYC HOUSING AUTHORITY,1,VP- Operations,Building Operations & Maintenance,38.8975669,-77.0383,Manhattan,217244.0,86346.0,Annual,20500.0,Operatives and Laborers
1546,NYC HOUSING AUTHORITY,1,VP- Operations,Building Operations & Maintenance,38.8975669,-77.0383,Manhattan,217244.0,86346.0,Annual,20500.0,Operatives and Laborers
1547,DEPT OF ENVIRONMENT PROTECTION,1,"Project Engineer, Arterial Highway","Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,83151.0,55416.0,Annual,11373.0,Other
1548,DEPT OF ENVIRONMENT PROTECTION,1,"Project Engineer, Arterial Highway","Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,83151.0,55416.0,Annual,11373.0,Other
1549,NYC HOUSING AUTHORITY,1,VP - Operations,Building Operations & Maintenance,38.8975669,-77.0383,Queens,217244.0,86346.0,Annual,20500.0,Operatives and Laborers
1550,NYC HOUSING AUTHORITY,1,VP - Operations,Building Operations & Maintenance,38.8975669,-77.0383,Queens,217244.0,86346.0,Annual,20500.0,Operatives and Laborers
1551,DEPT OF HEALTH/MENTAL HYGIENE,1,Planning Analyst,Health,40.749357200000006,-73.93906190000001,Queens,75591.0,65731.0,Annual,11101.0,Other
1552,DEPT OF HEALTH/MENTAL HYGIENE,1,Planning Analyst,Health,40.749357200000006,-73.93906190000001,Queens,75591.0,65731.0,Annual,11101.0,Other
1553,LAW DEPARTMENT,1,Deputy Chief of Facilities - Services,Administration & Human Resources Building Operations & Maintenance,40.713299299999996,-74.0101098,Manhattan,75591.0,65731.0,Annual,10007.0,Operatives and Laborers
1554,LAW DEPARTMENT,1,Supply Clerk,Administration & Human Resources Building Operations & Maintenance,40.713299299999996,-74.0101098,Manhattan,40629.0,35330.0,Annual,10007.0,Operatives and Laborers
1555,DEPARTMENT OF INVESTIGATION,2,Budget Analyst,"Administration & Human Resources Finance, Accounting, & Procurement",40.70712279999999,-74.00777149999998,Manhattan,66463.0,56990.0,Annual,10038.0,Other
1556,DEPARTMENT OF INVESTIGATION,2,Budget Analyst,"Administration & Human Resources Finance, Accounting, & Procurement",40.70712279999999,-74.00777149999998,Manhattan,66463.0,56990.0,Annual,10038.0,Other
1557,DEPT OF CITYWIDE ADMIN SVCS,1,MWBE Compliance Coordinator,"Administration & Human Resources Finance, Accounting, & Procurement Policy, Research & Analysis",40.712830600000004,-74.00371489999998,Manhattan,78211.0,48399.0,Annual,10007.0,Other
1558,DEPT OF CITYWIDE ADMIN SVCS,1,MWBE Compliance Coordinator,"Administration & Human Resources Finance, Accounting, & Procurement Policy, Research & Analysis",40.712830600000004,-74.00371489999998,Manhattan,78211.0,48399.0,Annual,10007.0,Other
1559,DEPARTMENT OF CITY PLANNING,1,Staten Island Office Deputy Director,"Administration & Human Resources Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",40.7084773,-74.01059839999998,Manhattan,100000.0,90000.0,Annual,10271.0,Other
1560,DEPT OF ENVIRONMENT PROTECTION,2,Policy Advisor,"Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,84301.0,73305.0,Annual,10007.0,Other
1561,DEPT OF ENVIRONMENT PROTECTION,2,Policy Advisor,"Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,84301.0,73305.0,Annual,10007.0,Other
1562,LAW DEPARTMENT,1,"Deputy Chief of Facilities, Supplies & Technical Support","Administration & Human Resources Technology, Data & Innovation Building Operations & Maintenance",40.713299299999996,-74.0101098,Manhattan,75591.0,65731.0,Annual,10007.0,Operatives and Laborers
1563,ADMIN FOR CHILDREN'S SVCS,1,Business Law Unit Agency Attorney,Legal Affairs,40.7096402,-74.0057361,Manhattan,76275.0,66326.0,Annual,10038.0,Other
1564,ADMIN FOR CHILDREN'S SVCS,1,Business Law Unit Agency Attorney,Legal Affairs,40.7096402,-74.0057361,Manhattan,76275.0,66326.0,Annual,10038.0,Other
1565,DEPT OF INFO TECH & TELECOMM,1,Information Security Engineer (Data Protection),"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,120000.0,75000.0,Annual,11201.0,Other
1566,DEPT OF INFO TECH & TELECOMM,1,Information Security Engineer (Data Protection),"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,120000.0,75000.0,Annual,11201.0,Other
1567,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of Tuberculosis Control",Health,40.72764300000001,-73.937443,Brooklyn,56860.92,45782.0,Annual,11222.0,Other
1568,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Adviser, Bureau of Tuberculosis Control",Health,40.72764300000001,-73.937443,Brooklyn,56860.92,45782.0,Annual,11222.0,Other
1569,DEPARTMENT OF SANITATION,1,ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE,Building Operations & Maintenance,40.734384000000006,-73.9094432,Queens,156829.0,56990.0,Annual,11377.0,Operatives and Laborers
1570,DEPARTMENT OF SANITATION,1,ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE,Building Operations & Maintenance,40.734384000000006,-73.9094432,Queens,156829.0,56990.0,Annual,11377.0,Operatives and Laborers
1571,DEPT OF INFO TECH & TELECOMM,1,Cyber Threat Analyst,"Technology, Data & Innovation",40.7143284,-74.01091439999998,Manhattan,95000.0,75000.0,Annual,10007.0,Other
1572,DEPT OF INFO TECH & TELECOMM,1,Cyber Threat Analyst,"Technology, Data & Innovation",40.7143284,-74.01091439999998,Manhattan,95000.0,75000.0,Annual,10007.0,Other
1573,DEPT OF HEALTH/MENTAL HYGIENE,1,"Nurse Practiotioner, Bureau of Sexually Transmitted Infections",Health,40.6733051,-73.9358673,Brooklyn,59.1084,38.5129,Hourly,11213.0,Other
1574,DEPT OF HEALTH/MENTAL HYGIENE,1,"Nurse Practiotioner, Bureau of Sexually Transmitted Infections",Health,40.6733051,-73.9358673,Brooklyn,59.1084,38.5129,Hourly,11213.0,Other
1575,DEPARTMENT OF TRANSPORTATION,7,Apprentice Inspector (Highway and Sewers),"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,46898.0,31320.0,Annual,10041.0,Managerial and Professional
1576,DEPARTMENT OF TRANSPORTATION,7,Apprentice Inspector (Highway and Sewers),"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,46898.0,31320.0,Annual,10041.0,Managerial and Professional
1577,OFFICE OF EMERGENCY MANAGEMENT,1,APPLICATION DEVELOPER,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,80000.0,70000.0,Annual,11201.0,Other
1578,OFFICE OF EMERGENCY MANAGEMENT,1,APPLICATION DEVELOPER,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,80000.0,70000.0,Annual,11201.0,Other
1579,OFFICE OF EMERGENCY MANAGEMENT,1,APPLICATION DEVELOPER,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,80000.0,70000.0,Annual,11201.0,Other
1580,OFFICE OF EMERGENCY MANAGEMENT,1,APPLICATION DEVELOPER,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,80000.0,70000.0,Annual,11201.0,Other
1581,MAYORS OFFICE OF CONTRACT SVCS,1,Senior Data Analyst,"Technology, Data & Innovation",40.7142973,-74.0043792,Manhattan,80000.0,65000.0,Annual,10007.0,Other
1582,MAYORS OFFICE OF CONTRACT SVCS,1,Senior Data Analyst,"Technology, Data & Innovation",40.7142973,-74.0043792,Manhattan,80000.0,65000.0,Annual,10007.0,Other
1583,OFFICE OF EMERGENCY MANAGEMENT,1,GIS SPECIALIST,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,66000.0,62000.0,Annual,11201.0,Other
1584,OFFICE OF EMERGENCY MANAGEMENT,1,GIS SPECIALIST,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,66000.0,62000.0,Annual,11201.0,Other
1585,OFFICE OF EMERGENCY MANAGEMENT,1,OPERATIONS DESKTOP SUPPORT TECHNICIAN,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,58000.0,54000.0,Annual,11201.0,Other
1586,OFFICE OF EMERGENCY MANAGEMENT,1,OPERATIONS DESKTOP SUPPORT TECHNICIAN,"Technology, Data & Innovation",40.699081899999996,-73.9893388,Brooklyn,58000.0,54000.0,Annual,11201.0,Other
1587,OFFICE OF EMERGENCY MANAGEMENT,1,PUBLIC WARNING SPECIALIST,"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",40.699081899999996,-73.9893388,Brooklyn,58000.0,58000.0,Annual,11201.0,Managerial and Professional
